Date,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,HYG,GLD,VNQ
2023-08-31,433.86,371.5,182.06,65.1,36.47,86.4,92.45,62.7,180.02,73.15
2023-09-30,413.28,352.63,171.4,62.73,35.34,84.16,89.16,61.69,171.45,67.84
2023-10-31,404.31,345.35,159.55,60.91,34.17,82.84,87.01,61.04,184.09,65.38
2023-11-30,441.24,382.71,174.23,65.91,36.83,86.65,93.6,64.03,188.75,73.28
2023-12-31,461.38,404.09,195.36,69.44,38.15,89.85,98.16,66.07,191.17,80.2
2024-01-31,468.73,411.44,187.74,69.13,36.42,89.72,97.73,66.15,188.45,76.15
2024-02-29,493.2,433.18,198.3,71.19,37.94,88.39,95.84,66.35,189.31,77.65
2024-03-31,509.32,438.7,205.21,73.6,38.97,89.19,97.32,67.07,205.72,79.17
2024-04-30,488.79,419.52,191.16,71.21,38.89,86.98,94.17,66.17,211.87,72.88
2024-05-31,513.51,445.32,200.79,74.81,39.65,88.44,96.25,67.25,215.3,76.2
2024-06-30,531.63,474.14,198.53,73.45,40.68,89.22,96.82,67.57,215.01,77.63
2024-07-31,538.06,466.18,219.05,75.35,41.03,91.38,99.38,69.16,226.55,83.79
2024-08-31,550.64,471.33,215.35,77.81,41.43,92.71,101.24,70.23,231.29,88.17
2024-09-30,562.2,483.68,216.88,78.42,43.81,93.95,103.22,71.43,243.06,91.05
2024-10-31,557.19,479.5,213.81,74.28,42.46,91.58,99.94,70.74,253.51,88.0
2024-11-30,590.41,505.16,237.48,74.05,41.32,92.6,101.73,71.9,245.59,91.74
2024-12-31,576.21,507.45,217.6,71.86,40.62,91.03,99.01,71.34,242.13,84.06
2025-01-31,591.68,518.43,223.03,75.31,41.5,91.5,99.59,72.31,258.56,85.45
2025-02-28,584.17,504.41,211.38,77.54,41.97,93.55,101.95,73.01,263.27,88.61
2025-03-31,551.62,466.15,196.9,77.68,42.45,93.52,101.48,72.22,288.14,86.32
2025-04-30,546.84,472.66,192.32,80.55,42.51,93.93,101.2,72.31,303.77,84.21
2025-05-31,581.2,516.04,202.4,84.41,44.22,93.36,101.41,73.58,303.6,85.15
2025-06-30,611.08,548.99,213.57,86.43,47.31,94.72,103.52,74.93,304.83,85.74
2025-07-31,625.15,562.3,217.14,84.62,47.63,94.47,103.43,75.03,302.96,85.82
2025-08-31,637.98,567.66,232.75,88.45,48.9,95.59,104.51,75.86,318.07,88.8
2025-09-30,660.71,598.18,240.15,90.28,52.37,96.67,106.47,76.53,355.47,88.85
2025-10-31,676.46,626.78,244.39,91.36,54.24,97.26,106.63,76.52,368.12,86.68
2025-11-30,677.78,616.99,246.89,92.04,53.28,97.85,107.63,77.1,387.88,88.78
2025-12-31,678.32,612.86,245.14,94.53,54.43,97.58,106.83,77.48,396.31,86.79
2026-01-31,688.31,620.4,258.57,99.17,58.79,97.82,107.2,77.95,444.95,89.06
2026-02-28,682.36,605.86,260.33,103.74,62.26,99.39,108.68,77.94,483.75,93.85
2026-03-31,648.67,576.54,247.41,95.62,56.5,97.6,106.43,77.2,430.29,87.92
2026-04-30,716.81,667.0,277.31,100.73,63.66,97.77,106.73,78.38,423.66,95.49
2026-05-31,754.54,737.5,289.74,103.17,68.24,98.06,107.65,78.72,417.12,94.86
2026-06-30,746.77,736.4,300.45,103.88,68.41,98.31,107.77,78.78,368.38,96.43
2026-07-31,747.03,687.99,291.2,105.58,64.09,96.7,105.35,78.66,371.54,98.95
2026-08-31,766.95,716.76,293.93,107.43,67.02,97.41,105.77,79.38,408.42,96.44
