,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,HYG,GLD,VNQ
SPY,1.0,0.9213039351192697,0.8136306380082057,0.651370791174158,0.6620416846312683,0.537463496802232,0.6152067160719165,0.7748820346603956,0.023544369129760056,0.6768251688396434
QQQ,0.9213039351192697,1.0,0.689657209728716,0.5069201331606948,0.7007538592333671,0.4228216647866327,0.4955165447657087,0.6240885775760583,-0.07273383563962897,0.4637075599194365
IWM,0.8136306380082057,0.689657209728716,1.0,0.6409338518729333,0.585487330333895,0.6051114247477356,0.6538827400510816,0.7693614693296712,0.01650828100282395,0.7743528207917837
EFA,0.651370791174158,0.5069201331606948,0.6409338518729333,1.0,0.7017495467749421,0.7108999525714396,0.7078623466653153,0.7465461441288018,0.37082064062256576,0.7521724674101168
EEM,0.6620416846312683,0.7007538592333671,0.585487330333895,0.7017495467749421,1.0,0.5126606467714587,0.5286930141960292,0.5314639252273032,0.3775149119193224,0.5218938443431211
AGG,0.537463496802232,0.4228216647866327,0.6051114247477356,0.7108999525714396,0.5126606467714587,1.0,0.9776162174410195,0.8611847670662895,0.23921243194923553,0.7965982991674624
LQD,0.6152067160719165,0.4955165447657087,0.6538827400510816,0.7078623466653153,0.5286930141960292,0.9776162174410195,1.0,0.9150927822581616,0.19115017804713436,0.8146151221958464
HYG,0.7748820346603956,0.6240885775760583,0.7693614693296712,0.7465461441288018,0.5314639252273032,0.8611847670662895,0.9150927822581616,1.0,0.11274634874705786,0.84062311047791
GLD,0.023544369129760056,-0.07273383563962897,0.01650828100282395,0.37082064062256576,0.3775149119193224,0.23921243194923553,0.19115017804713436,0.11274634874705786,1.0,0.13989929651745744
VNQ,0.6768251688396434,0.4637075599194365,0.7743528207917837,0.7521724674101168,0.5218938443431211,0.7965982991674624,0.8146151221958464,0.84062311047791,0.13989929651745744,1.0
